char, x, y, w, h, bottom, left, right, top
a, 25, 52, 43, 57
A, 78, 33, 64, 75
b, 153, 28, 47, 80
B, 216, 35, 49, 74
c, 274, 52, 41, 57
C, 324, 34, 54, 75
d, 387, 28, 48, 80
D, 453, 35, 57, 74
e, 519, 52, 48, 57
E, 583, 35, 41, 74
f, 632, 28, 36, 80
F, 676, 34, 39, 74
g, 722, 53, 48, 76, 109
G, 779, 34, 60, 76
h, 858, 28, 45, 80
H, 920, 33, 54, 75
i, 990, 32, 13, 75 
I, 1020, 33, 10, 75
j, 1037, 33, 24, 97, 109
J, 1067, 35, 28, 76
k, 1113, 28, 43, 80
K, 1167, 33, 49, 75
l, 1228, 28, 10, 78
L, 1257, 34, 38, 74
m, 1303, 53, 77, 56
M, 1397, 34, 81, 74
n, 1497, 52, 45, 56
N, 1560, 34, 57, 74
o, 1629, 52, 52, 57
O, 1692, 33, 67, 76
p, 1773, 53, 47, 76, 109
P, 1836, 34, 46, 74
q, 1890, 53, 48, 76, 109
Q, 1954, 34, 67, 86, 109
r, 30, 169, 31, 56
R, 72, 151, 45, 73
s, 129, 169, 37, 57
S, 174, 150, 46, 76
t, 227, 157, 34, 70
T, 264, 151, 57, 74
u, 328, 170, 45, 56
U, 392, 150, 57, 76
v, 460, 170, 49, 55
V, 511, 150, 62, 75
w, 579, 170, 78, 55
W, 663, 150, 98, 75
x, 767, 170, 46, 55
X, 818, 150, 55, 75
y, 878, 171, 49, 76, 224
Y, 931, 150, 53, 75
z, 991, 171, 49, 55
Z, 1034, 152, 50, 74
0, 514, 267, 51, 76
1, 581, 268, 43, 75
2, 636, 268, 47, 75
3, 695, 267, 45, 76
4, 751, 267, 53, 75
5, 813, 268, 47, 75
6, 872, 267, 49, 76
7, 931, 268, 49, 74
8, 990, 267, 51, 76
9, 1049, 267, 50, 76
  , 2039, 34, 48, 76
